,date,symbol,open,close,low,high,volume
81341,2010-09-10,AMZN,140.75,142.440002,140.039993,142.600006,5043600
81810,2010-09-13,AMZN,144.070007,145.070007,143.759995,145.740005,5077400
82279,2010-09-14,AMZN,144.5,145.75,143.830002,146.699997,4319400
82748,2010-09-15,AMZN,144.880005,145.449997,143.559998,145.619995,4903600
83217,2010-09-16,AMZN,145.399994,148.130005,145.160004,148.229996,5827000
83686,2010-09-17,AMZN,148.899994,148.320007,146.5,148.979996,7259600
84155,2010-09-20,AMZN,148.699997,151.300003,147.350006,151.949997,6449400
84624,2010-09-21,AMZN,150.759995,150.729996,149.600006,153.309998,7542000
85093,2010-09-22,AMZN,149.839996,151.830002,149.100006,152.699997,6612400
85562,2010-09-23,AMZN,151.199997,152.850006,150.970001,155.919998,7065600
86031,2010-09-24,AMZN,155.429993,160.729996,155.419998,160.889999,10590600
86500,2010-09-27,AMZN,160.220001,159.369995,157.880005,161.199997,6446300
86969,2010-09-28,AMZN,159.839996,159.699997,154.889999,160.880005,8494200
87438,2010-09-29,AMZN,159.029999,158.990005,157.75,161.779999,7287500
87907,2010-09-30,AMZN,160.009995,157.059998,155.600006,160.929993,7606000
88376,2010-10-01,AMZN,157.080002,153.710007,152.199997,157.440002,8683400
88845,2010-10-04,AMZN,153.949997,155.389999,152.789993,155.960007,5346500
89314,2010-10-05,AMZN,157.080002,160.869995,157.009995,161.210007,5620000
89783,2010-10-06,AMZN,160.600006,155.399994,154.600006,160.679993,6060800
90252,2010-10-07,AMZN,156.509995,156.270004,153.389999,157.399994,4622000
90721,2010-10-08,AMZN,155.179993,155.550003,152.779999,156.279999,6918400
91190,2010-10-11,AMZN,154.889999,153.029999,152.339996,156.630005,4486400
91659,2010-10-12,AMZN,152.509995,156.479996,151.399994,156.949997,5280800
92128,2010-10-13,AMZN,156.690002,155.169998,153.850006,156.789993,5632800
92597,2010-10-14,AMZN,155.160004,155.529999,154.229996,156.949997,4024100
93066,2010-10-15,AMZN,158.419998,164.639999,156.75,164.880005,10135500
93535,2010-10-18,AMZN,165,163.559998,161.820007,165.190002,6331300
94004,2010-10-19,AMZN,160.679993,158.669998,157,162.800003,7525000
94473,2010-10-20,AMZN,158.779999,158.669998,156.570007,159.869995,5790400
94942,2010-10-21,AMZN,162.669998,164.970001,161.289993,166.130005,13482500
95411,2010-10-22,AMZN,162.449997,169.130005,162.270004,170.169998,16318400
95880,2010-10-25,AMZN,171.570007,169,168.320007,171.990005,6530900
96349,2010-10-26,AMZN,167.570007,169.949997,167.5,171,4689600
96818,2010-10-27,AMZN,168.910004,167.509995,166.539993,169.75,5721800
97287,2010-10-28,AMZN,168.309998,166.839996,165.050003,168.490005,4684400
97756,2010-10-29,AMZN,165.800003,165.229996,164.809998,168.5,4998500
98225,2010-11-01,AMZN,164.449997,162.580002,161.520004,164.580002,5239900
98694,2010-11-02,AMZN,163.75,164.610001,163.360001,165.940002,4260000
99163,2010-11-03,AMZN,165.399994,168.470001,162.289993,168.610001,6112100
99632,2010-11-04,AMZN,169.860001,168.929993,168.399994,172.529999,7395900
100101,2010-11-05,AMZN,169.350006,170.770004,168.589996,171.649994,5212200
100570,2010-11-08,AMZN,170.839996,171.990005,168.779999,173.199997,5706000
101039,2010-11-09,AMZN,172.669998,170.270004,169.059998,173.139999,3978600
101508,2010-11-10,AMZN,170.589996,173.330002,169.410004,173.369995,5440300
101977,2010-11-11,AMZN,171,170.369995,169.419998,172.050003,5691700
102446,2010-11-12,AMZN,170.119995,165.679993,165.050003,171.259995,7160600
102915,2010-11-15,AMZN,165.160004,158.899994,158.559998,165.350006,9648600
103384,2010-11-16,AMZN,158.740005,157.779999,156.770004,160.910004,6571400
103853,2010-11-17,AMZN,157.839996,158.350006,157.550003,160.850006,4524900
104322,2010-11-18,AMZN,160.740005,164.169998,160.740005,165,6225300
104792,2010-11-19,AMZN,163.949997,164.820007,162.839996,164.990005,4464800
105262,2010-11-22,AMZN,165.100006,170.389999,165,170.600006,6142500
105732,2010-11-23,AMZN,168.610001,168.199997,164.619995,168.809998,6465300
106202,2010-11-24,AMZN,171.529999,177.25,171.529999,177.889999,10042500
106672,2010-11-26,AMZN,177.360001,177.199997,176.160004,178.380005,4271600
107142,2010-11-29,AMZN,179.990005,179.490005,177.570007,181.839996,9695000
107612,2010-11-30,AMZN,176.949997,175.399994,174.899994,177.699997,6762200
108082,2010-12-01,AMZN,179.160004,176.550003,176,179.320007,5770100
108552,2010-12-02,AMZN,176.860001,176.529999,173.919998,177.449997,5537600
109022,2010-12-03,AMZN,175.5,175.679993,174.050003,176.399994,4907500
109492,2010-12-06,AMZN,175.520004,178.050003,174.600006,178.429993,5654200
109962,2010-12-07,AMZN,180.5,176.770004,176.570007,181.470001,5077100
110432,2010-12-08,AMZN,177.490005,176.289993,175.199997,178.160004,3726900
110902,2010-12-09,AMZN,177.770004,174.850006,173.800003,178.110001,4555500
111372,2010-12-10,AMZN,174.880005,175.619995,173.360001,175.949997,3565500
111842,2010-12-13,AMZN,176.330002,174.25,173.729996,177.940002,4202500
112312,2010-12-14,AMZN,174.279999,173.940002,173.089996,175.759995,3685300
112782,2010-12-15,AMZN,173.720001,175.570007,173.589996,179,5810500
113252,2010-12-16,AMZN,175.580002,178.039993,175.039993,178.300003,4121500
113722,2010-12-17,AMZN,178.410004,177.580002,177.020004,178.75,4507300
114192,2010-12-20,AMZN,179.270004,183.289993,178.039993,183.979996,8735300
114662,2010-12-21,AMZN,183.880005,184.75,182.600006,185.649994,5111000
115132,2010-12-22,AMZN,185,184.759995,184.110001,185.449997,2578100
115602,2010-12-23,AMZN,184.339996,182.589996,181.889999,184.979996,3358200
116072,2010-12-27,AMZN,181.899994,182.139999,180.449997,183.139999,2249400
116542,2010-12-28,AMZN,182.100006,181.089996,181.050003,182.770004,1975000
117012,2010-12-29,AMZN,181.800003,183.369995,180.410004,184.350006,3120100
117482,2010-12-30,AMZN,183.919998,182.75,182.75,184.550003,1961200
117952,2010-12-31,AMZN,181.960007,180,179.509995,182.300003,3451900
118422,2011-01-03,AMZN,181.369995,184.220001,181.210007,186,5331400
118892,2011-01-04,AMZN,186.149994,185.009995,183.779999,187.699997,5031800
119362,2011-01-05,AMZN,184.100006,187.419998,184.070007,187.449997,3418800
119832,2011-01-06,AMZN,186.5,185.860001,185.25,187.410004,3179700
120302,2011-01-07,AMZN,187.880005,185.490005,183.740005,188.449997,5221700
120772,2011-01-10,AMZN,185.039993,184.679993,182.509995,185.289993,3375900
121242,2011-01-11,AMZN,185.419998,184.339996,183.210007,186,2814200
121712,2011-01-12,AMZN,185.360001,184.080002,183.300003,185.380005,2679100
122182,2011-01-13,AMZN,183.600006,185.529999,183.509995,186.449997,3367000
122652,2011-01-14,AMZN,185.5,188.75,184.919998,188.940002,3662800
123122,2011-01-18,AMZN,188.660004,191.25,188.25,191.600006,3896200
123592,2011-01-19,AMZN,190.899994,186.869995,186.210007,191,3882400
124062,2011-01-20,AMZN,185.289993,181.960007,181,186.850006,5709900
124532,2011-01-21,AMZN,183,177.419998,176.839996,183.25,6806200
125002,2011-01-24,AMZN,177.949997,176.850006,174.149994,178.490005,5600300
125472,2011-01-25,AMZN,175.5,176.699997,174.279999,176.75,4651000
125942,2011-01-26,AMZN,177.509995,175.389999,174.630005,177.889999,3762200
126412,2011-01-27,AMZN,177.479996,184.449997,177.309998,185,14594400
126882,2011-01-28,AMZN,171.449997,171.139999,166.899994,173.710007,19908200
127352,2011-01-31,AMZN,170.160004,169.639999,167.410004,171.440002,6718100
127822,2011-02-01,AMZN,170.520004,172.110001,169.509995,173.100006,5085900
128292,2011-02-02,AMZN,171.419998,173.529999,170.869995,175.199997,4547500
128762,2011-02-03,AMZN,173.5,173.710007,171.949997,174.669998,3678900
129232,2011-02-04,AMZN,174,175.929993,173.75,177.190002,4347800
129702,2011-02-07,AMZN,176.149994,176.429993,174.770004,177.550003,5254700
130172,2011-02-08,AMZN,176.660004,183.059998,176.589996,183.110001,7794900
130642,2011-02-09,AMZN,183.149994,185.300003,182.259995,186.470001,8312700
131112,2011-02-10,AMZN,184.389999,186.210007,183.600006,187.240005,5331400
131582,2011-02-11,AMZN,185.559998,189.25,185.369995,189.5,4487900
132052,2011-02-14,AMZN,189.25,190.419998,188.350006,191.399994,4061300
132522,2011-02-15,AMZN,188.729996,189.029999,188.25,190.490005,3890900
132992,2011-02-16,AMZN,189.770004,186.619995,186.350006,190,4628200
133462,2011-02-17,AMZN,185.770004,187.759995,185.309998,189.089996,3425500
133932,2011-02-18,AMZN,187.539993,186.5,185.130005,188.5,4178600
134402,2011-02-22,AMZN,183.679993,180.419998,179.320007,184.720001,5637100
134872,2011-02-23,AMZN,180.25,176.679993,174.389999,181.149994,5482000
135342,2011-02-24,AMZN,176.860001,177.75,174.559998,179.75,4656500
135812,2011-02-25,AMZN,178.949997,177.240005,177.100006,180.75,4191400
136282,2011-02-28,AMZN,173.910004,173.289993,172.149994,175.889999,6783200
136752,2011-03-01,AMZN,173.529999,169.440002,168.669998,173.960007,5847100
137222,2011-03-02,AMZN,169.089996,172.020004,168.350006,173.300003,5185700
137692,2011-03-03,AMZN,173.710007,172.789993,172.050003,174.460007,4138200
138162,2011-03-04,AMZN,172.619995,171.669998,169.509995,172.75,4924300
138632,2011-03-07,AMZN,171.919998,169.080002,166.240005,172.089996,5932900
139102,2011-03-08,AMZN,169.389999,166.889999,166.720001,169.710007,4219000
139572,2011-03-09,AMZN,166.669998,169.050003,163.899994,169.75,7108900
140042,2011-03-10,AMZN,167.070007,166.139999,164.820007,168.470001,5998400
140512,2011-03-11,AMZN,165.5,168.070007,164.119995,169.199997,4609900
140982,2011-03-14,AMZN,166.600006,166.729996,164.570007,168.080002,4022000
141452,2011-03-15,AMZN,161.389999,165.080002,160.759995,166.880005,4934500
141922,2011-03-16,AMZN,164.699997,164.699997,162.869995,168.139999,5208100
142392,2011-03-17,AMZN,165.910004,160.970001,160.779999,166.300003,6471400
142862,2011-03-18,AMZN,161.190002,161.820007,160.589996,163.539993,7442700
143332,2011-03-21,AMZN,163.369995,164.520004,161.720001,165.789993,4055100
143802,2011-03-22,AMZN,164.070007,162.600006,162.25,164.440002,3611400
144272,2011-03-23,AMZN,162.300003,165.320007,160.820007,166.259995,4721300
144742,2011-03-24,AMZN,168.210007,171.100006,167.360001,172,6283200
145212,2011-03-25,AMZN,171.639999,170.979996,170.300003,173.490005,4293800
145682,2011-03-28,AMZN,171.800003,169.350006,169.25,172.5,3400800
146152,2011-03-29,AMZN,170.729996,174.619995,170.070007,174.839996,4884600
146622,2011-03-30,AMZN,177.779999,179.419998,177.660004,181.160004,6859300
147092,2011-03-31,AMZN,179.309998,180.130005,178.5,181.570007,4826500
147562,2011-04-01,AMZN,181.580002,180.130005,178.589996,183.25,5684100
148032,2011-04-04,AMZN,180.889999,182.940002,180.690002,183.610001,4186400
148502,2011-04-05,AMZN,182.100006,185.289993,181.800003,186.360001,5569200
148972,2011-04-06,AMZN,186.149994,182.759995,181.119995,188.270004,5430700
149442,2011-04-07,AMZN,182.779999,184.910004,181.759995,185.169998,4564000
149912,2011-04-08,AMZN,185.259995,184.710007,182.779999,186.220001,3726400
150382,2011-04-11,AMZN,184.860001,184.039993,181.850006,186.490005,3297100
150852,2011-04-12,AMZN,183.059998,180.479996,179.419998,184.589996,5334500
151322,2011-04-13,AMZN,180.830002,182.289993,179.800003,182.880005,4216300
151792,2011-04-14,AMZN,181.389999,181.820007,179.360001,182.080002,3588200
152262,2011-04-15,AMZN,181,180.009995,179.020004,181.779999,4272400
152732,2011-04-18,AMZN,178.380005,178.339996,175.369995,178.910004,4616500
153202,2011-04-19,AMZN,178.350006,178.820007,176.600006,179.470001,2646000
153672,2011-04-20,AMZN,181.619995,183.869995,181.589996,185,4067500
154142,2011-04-21,AMZN,184.559998,185.889999,183.050003,185.970001,3348100
154612,2011-04-25,AMZN,185.649994,185.419998,183.770004,186.350006,3438100
155082,2011-04-26,AMZN,186.270004,182.300003,180.740005,186.419998,11200000
155552,2011-04-27,AMZN,183.199997,196.630005,182.75,197.800003,23623000
156022,2011-04-28,AMZN,195.960007,195.070007,192.270004,196.789993,7300000
156492,2011-04-29,AMZN,194.380005,195.809998,193.779999,196.589996,6640900
156962,2011-05-02,AMZN,196.570007,201.190002,196.179993,203.419998,9398100
157432,2011-05-03,AMZN,201,198.449997,196.690002,202.589996,6100000
157902,2011-05-04,AMZN,198.25,199.970001,195.369995,201.860001,6550000
158372,2011-05-05,AMZN,198.660004,197.110001,196.119995,201,4600000
158842,2011-05-06,AMZN,199.100006,197.600006,196.559998,199.559998,4013900
159312,2011-05-09,AMZN,198.339996,200.800003,196.779999,202.360001,5825400
159782,2011-05-10,AMZN,201.940002,203.940002,201.559998,205.289993,5885900
160252,2011-05-11,AMZN,203.119995,204.380005,202.25,205.5,4809000
160722,2011-05-12,AMZN,204.220001,206.070007,200.619995,206.190002,4800000
161192,2011-05-13,AMZN,205.699997,202.559998,202.360001,206.389999,4123700
161662,2011-05-16,AMZN,200.539993,192.509995,191.369995,200.899994,9386400
162132,2011-05-17,AMZN,191.820007,194.809998,191.759995,195.979996,7073300
162602,2011-05-18,AMZN,194.130005,197.089996,193.25,198.279999,4955800
163072,2011-05-19,AMZN,198.330002,198.800003,197.550003,199.949997,3701200
163542,2011-05-20,AMZN,197.949997,198.649994,197.240005,199.800003,3381000
164012,2011-05-23,AMZN,195.559998,196.220001,192.020004,197.289993,4200000
164482,2011-05-24,AMZN,197,193.270004,193,197,2972700
164952,2011-05-25,AMZN,193.570007,192.259995,191.139999,194.350006,4661300
165422,2011-05-26,AMZN,191.240005,195,190.880005,196.449997,4075200
165892,2011-05-27,AMZN,194.759995,194.130005,193.5,196.119995,2352600
166362,2011-05-31,AMZN,195.940002,196.690002,195.029999,198.440002,3409000
166832,2011-06-01,AMZN,196.059998,192.399994,192.050003,197.259995,3445200
167302,2011-06-02,AMZN,192.279999,193.649994,190.559998,194.440002,3044900
167772,2011-06-03,AMZN,191.229996,188.320007,187.619995,193.210007,4974500
168242,2011-06-06,AMZN,188.009995,185.690002,185.179993,189.850006,3716000
168712,2011-06-07,AMZN,185.720001,187.550003,185.520004,190.630005,4866500
169182,2011-06-08,AMZN,187.449997,188.050003,186.320007,189.809998,3716600
169652,2011-06-09,AMZN,189.740005,189.679993,185.710007,191.759995,4187300
170122,2011-06-10,AMZN,189.25,186.529999,186.279999,190.770004,3760400
170592,2011-06-13,AMZN,186.809998,186.289993,184.860001,189.309998,3868900
171062,2011-06-14,AMZN,188.990005,189.960007,187.070007,190.720001,3960300
